,Fiscal Quarter,Bureau,Base Pay
45699,1,9,20714.36
45700,1,3,22340.09
45701,3,5,29776.76
45702,3,12,21825.28
45703,4,3,22189.68
45704,2,3,39485.60
45705,1,23,31089.20
45706,2,3,47069.32
45707,3,16,38289.22
45708,1,5,20186.40
45709,2,3,38995.48
45710,2,5,48428.98
45711,2,20,0.00
45712,3,20,2319.92
45713,3,22,33126.56
45714,1,5,16603.54
45715,4,5,12198.63
45716,2,12,54436.44
45717,4,5,17290.17
45718,4,5,14621.66
45719,4,3,18471.54
45720,4,3,20590.51
45721,2,5,58617.86
45722,1,3,31360.00
45723,4,9,13712.40
45724,1,20,1535.50
45725,2,5,51663.32
45726,1,20,37542.96
45727,2,5,26817.00
45728,4,5,54653.44
45729,4,0,29234.92
45730,3,3,27093.46
45731,1,5,17205.80
45732,2,9,23689.88
45733,2,5,22178.40
45734,1,5,22510.78
45735,4,20,25001.78
45736,4,5,46980.22
45737,2,5,21536.08
45738,2,3,33543.36
45739,1,3,28892.85
45740,4,3,17608.50
45741,2,22,54653.80
45742,2,3,42834.40
45743,1,3,24071.85
45744,4,20,8147.15
45745,2,20,28525.26
45746,3,3,30100.82
45747,2,3,42001.12
45748,2,9,24561.80
45749,4,5,17746.91
45750,3,5,23057.64
45751,3,5,19522.04
45752,3,12,35054.12
45753,1,3,28148.72
45754,4,23,13308.95
45755,2,1,60344.68
45756,2,9,31313.80
45757,2,5,34183.98
45758,1,3,7995.20
45759,2,5,63014.00
45760,4,5,11107.78
45761,3,20,15913.64
45762,4,3,23823.52
45763,1,3,26845.56
45764,4,5,20073.22
45765,1,5,180000.00
45766,3,20,25497.59
45767,4,20,18231.36
45768,3,12,43581.32
45769,4,9,17544.80
45770,4,5,34539.52
45771,2,5,32881.70
45772,2,20,18632.96
45773,2,5,0.00
45774,3,20,35330.78
45775,3,5,22481.12
45776,2,5,31449.00
45777,4,3,35117.60
45778,1,3,24071.85
45779,2,5,25210.98
45780,2,9,34062.52
45781,3,3,37654.82
45782,3,3,40089.32
45783,4,20,17066.64
45784,4,9,32880.54
45785,3,23,22784.00
45786,1,3,17332.00
45787,2,9,37439.22
45788,4,8,6353.32
45789,3,12,29003.47
45790,1,5,48428.72
45791,1,3,33160.12
45792,4,3,16342.13
45793,2,5,49302.46
45794,3,5,74393.33
45795,4,3,16100.10
45796,2,3,37339.48
45797,1,3,27786.29
45798,4,3,36039.30
45799,1,5,20578.66
45800,4,20,37391.64
45801,3,9,13436.31
45802,1,1,23440.25
45803,1,5,5136.56
45804,1,7,36264.62
45805,1,9,18128.44
45806,2,12,19245.26
45807,2,3,38340.62
45808,3,19,13225.20
45809,1,19,15361.19
45810,2,5,20281.06
45811,1,3,27631.18
45812,4,21,26062.11
45813,2,5,34809.06
45814,2,3,39485.60
45815,2,23,35394.80
45816,4,5,30921.80
45817,3,5,17403.20
45818,1,5,37738.96
45819,2,5,16519.72
45820,1,3,19985.90
45821,4,3,0.00
45822,4,8,24928.60
45823,4,3,15012.48
45824,4,3,12138.70
45825,2,23,44584.98
45826,1,3,31149.36
45827,4,3,33551.06
45828,3,8,20728.02
45829,1,5,34967.30
45830,3,13,16264.12
45831,4,20,27868.54
45832,3,9,19920.02
45833,1,1,41476.76
45834,2,3,35117.60
45835,4,9,22615.24
45836,2,5,0.00
45837,1,20,26135.84
45838,2,3,63161.56
45839,2,13,33452.08
45840,4,9,39577.28
45841,3,9,20317.20
45842,1,5,16895.69
45843,1,3,29485.44
45844,2,5,133966.08
45845,2,1,38679.20
45846,3,5,66221.16
45847,2,3,36517.68
45848,1,5,34594.50
45849,4,9,24715.54
45850,4,5,2798.74
45851,3,5,6280.95
45852,3,12,42722.02
45853,1,9,18910.10
45854,3,3,35199.42
45855,4,5,34537.34
